Date,Open,High,Low,Close,Adj Close,Volume
14-09-2025,0.289463013,0.294212013,0.273187995,0.278589994,0.278589994,5708225877
15-09-2025,0.278587013,0.281681001,0.259829015,0.268629998,0.268629998,5721394577
16-09-2025,0.268629014,0.27156201,0.258969009,0.26977101,0.26977101,4384096063
17-09-2025,0.26977101,0.283565998,0.262246013,0.282463998,0.282463998,4837069879
18-09-2025,0.282449007,0.287901998,0.276461005,0.278779,0.278779,4420244724
19-09-2025,0.278780013,0.284022003,0.263711005,0.265386999,0.265386999,3402582767
20-09-2025,0.265388012,0.269145012,0.263565987,0.267749012,0.267749012,1791655632
21-09-2025,0.267749012,0.269683987,0.260829985,0.261159003,0.261159003,1759685373
22-09-2025,0.261159986,0.262041003,0.235857993,0.241316006,0.241316006,5600811076
23-09-2025,0.241315007,0.243401006,0.234702006,0.237388,0.237388,2979805692
24-09-2025,0.237386003,0.250155002,0.232086003,0.241244003,0.241244003,3426936081
25-09-2025,0.241245002,0.241934001,0.22157,0.222706005,0.222706005,4513449818
26-09-2025,0.222714007,0.233288005,0.222036004,0.232629001,0.232629001,3136341383
27-09-2025,0.232629001,0.234215006,0.228247002,0.230836004,0.230836004,1404236029
28-09-2025,0.230838001,0.237471998,0.225417003,0.237388,0.237388,1629383714
29-09-2025,0.237388998,0.238684997,0.229169995,0.235056996,0.235056996,2451434578
30-09-2025,0.235066995,0.235651001,0.226797,0.232905,0.232905,2112968133
01-10-2025,0.232905,0.248365,0.230832994,0.248365,0.248365,2935493861
02-10-2025,0.248372003,0.263415009,0.247054994,0.261936992,0.261936992,3466616007
03-10-2025,0.261940002,0.264968991,0.253547013,0.258603007,0.258603007,3285893533
04-10-2025,0.25860399,0.259404987,0.247336999,0.250916988,0.250916988,2121406683
05-10-2025,0.250914991,0.264665008,0.249815002,0.252954006,0.252954006,3422890843
06-10-2025,0.252954006,0.270047009,0.251322001,0.266312987,0.266312987,3938750191
07-10-2025,0.266312003,0.267863005,0.247256994,0.247316003,0.247316003,4263519773
08-10-2025,0.247316003,0.260930985,0.244136006,0.255562991,0.255562991,3136056857
09-10-2025,0.255562007,0.255708992,0.241941005,0.248563007,0.248563007,3221293489
10-10-2025,0.248563007,0.253623992,0.114784002,0.193155006,0.193155006,8989277920
11-10-2025,0.193155006,0.200233996,0.179012001,0.185442999,0.185442999,6948749972
12-10-2025,0.185441002,0.214048997,0.181756005,0.207794994,0.207794994,5183180935
13-10-2025,0.207794994,0.218270004,0.204745993,0.213991001,0.213991001,4745994514
